 141 124.789     861  98.539    1581 116.014    2301 104.665    3021 225.559
 142 126.206     862 104.393    1582 113.329    2302 101.398    3022 215.978
 143 125.787     863 125.864    1583 116.073    2303 116.069    3023 148.407
 144 134.189     864 127.747    1584 114.353    2304 116.954    3024  88.8707
 145 157.914     865 111.301    1585 106.768    2305 103.752    3025  85.0951
 146 162.523     866 110.9      1586 106.612    2306 101.019    3026  90.3176
 147 155.661     867 126.162    1587 113.697    2307 104.733    3027 111.148
 148 149.877     868 126.926    1588 115.214    2308 100.166    3028 114.305
 149 139.804     869 113.107    1589 112.031    2309  86.4541   3029 100.956
 150 131.402     870 109.081    1590 110.382    2310  93.186    3030  99.8214
 151 117.111     871 110.097    1591 108.646    2311 134.812    3031 109.25
 152 114.364     872 107.952    1592 106.378    2312  72.6199   3032 107.213
 153 119.015     873 100.462    1593 101.358    2313  30.1171   3033  91.993
 154 114.394     874  96.6106   1594  99.0944   2314  32.7429   3034  82.4421
 155  98.8575    875  92.0845   1595  97.1902   2315 157.474    3035  69.4909
 156 104.204     876  87.9213   1596  96.4327   2316 194.834    3036  64.0242
 157 140.38      877  79.7995   1597  96.0298   2317  88.7201   3037  59.0869
 158 143.745     878  71.8311   1598  97.4584   2318  73.9618   3038  58.8293
 159 115.692     879  59.6719   1599 101.864    2319 118.019    3039  64.36
 160 108.139     880  60.3063   1600  99.7936   2320  53.9279   3040 103.704
 161 111.777     881  75.3044   1601  90.2796   2321  21.6422   3041 209.491
 162 109.443     882  79.5554   1602  89.3938   2322  24.4423   3042 208.861
 163  99.4142    883  72.1113   1603  95.3387   2323 181.984    3043  93.765
 164 101.731     884  71.5018   1604  87.3817   2324 220.467    3044  75.2653
 165 120.183     885  76.4534   1605  66.8501   2325 212.287    3045 151.121
 166 126.938     886  67.7767   1606  66.5919   2326 210.222    3046 169.778
 167 126.609     887  49.6767   1607  83.5309   2327 218.677    3047 138.129
 168 128.982     888  52.4047   1608  59.1384   2328 222.145    3048 120.719
 169 136.747     889  93.7461   1609  31.4694   2329 226.307    3049 110.398
 170 136.397     890 104.313    1610  33.9313   2330 220.347    3050 113.229
 171 127.676     891  65.5396   1611 104.167    2331 183.045    3051 123.984
 172 126.098     892  57.9693   1612 170.827    2332 171.531    3052  67.1351
 173 130.344     893  57.1388   1613 104.343    2333 212.96     3053  32.8848
 174 132.352     894  54.6575   1614  88.8612   2334 212.631    3054  43.1899
 175 133.35      895  49.4359   1615  98.6172   2335 185.579    3055 224.294
 176 128.153     896  57.1735   1616  96.6076   2336 142.976    3056 233.607
 177 112.537     897 118.033    1617  80.727    2337  84.2057   3057 205.529
 178 108.154     898 148.824    1618  76.3268   2338  80.027    3058 182.398
 179 109.26      899 125.641    1619  76.5261   2339 114.139    3059 210.403
 180 113.533     900 118.299    1620  86.1299   2340 128.981    3060 221.867
 181 118.525     901 119.887    1621 110.269    2341  77.0384   3061  78.951
 182 118.932     902 113.538    1622 111.63     2342  65.8209   3062  75.72
 183 123.239     903 101.491    1623 128.488    2343  63.7305   3063 101.232
 184 118.783     904 101.771    1624 130.096    2344  66.9781   3064  85.5412
 185 103.539     905 114.716    1625 118.191    2345  80.7448   3065  56.6818
 186 103.617     906 117.782    1626 112.937    2346  66.9309   3066 139.553
 187 119.019     907 112.182    1627 109.217    2347  43.4461   3067 232.136
 188 122.34      908 108.979    1628 109.567    2348  41.851    3068 236.2
 189 114.953     909 105.68     1629 114.065    2349  53.8192   3069 186.601
 190 111.004     910 108.961    1630 115.19     2350  63.3819   3070 123.188
 191 107.3       911 122.75     1631 113.65     2351  70.9232   3071 221.018
 192 110.378     912 127.72     1632 111.379    2352  77.7058   3072 222.399
 193 123.635     913 128.147    1633 106.885    2353  92.4235   3073 147.715
 194 123.913     914 130.05     1634 109.188    2354  98.4435   3074 189.256
 195 111.497     915 135.413    1635 121.357    2355  99.841    3075 232.908
 196 109.585     916 133.568    1636 123.907    2356 100.486    3076 231.837
 197 116.163     917 122.181    1637 118.312    2357 102.122    3077 200.858
 198 119.588     918 113.463    1638 116.259    2358 110.178    3078 181.603
 199 122.675     919 100.247    1639 115.879    2359 134.634    3079 221.177
 200 125.447     920  96.3018   1640 115.507    2360 132.576    3080 228.622
 201 130.733     921  96.5816   1641 114.614    2361 103.867    3081 228.812
 202 130.311     922 102.832    1642 114.691    2362  99.7533   3082 219.496
 203 124.587     923 123.608    1643 115.594    2363 113.145    3083 185.389
 204 130.789     924 124.566    1644 113.011    2364 114.241    3084 127.962
 205 154.199     925 106.759    1645 105.088    2365 102.847    3085  91.4542
 206 161.098     926 107.796    1646 104.887    2366 101.301    3086  88.2514
 207 160.91      927 129.411    1647 112.168    2367 106.759    3087 109.574
