 211 112.5        586  50.5161     961 115.501     1336  67.8747
 212 112.5        587   9.97745    962 116.499     1337  76.5584
 213 114          588  10.1816     963 114         1338  74.9745
 214 114          589  41.5102     964 114         1339 119.782
 215  98.8889     590  21.4631     965 113         1340 119.782
 216  98.8889     591  34.4873     966 113         1341  78.5206
 217  74.4308     592  29.5149     967 115         1342  78.5206
 218  74.4308     593  68.5556     968 115         1343  95.1072
 219  66.1674     594  68.5556     969 116         1344  95.1072
 220  41.5426     595 151.222      970 116         1345  30.5202
 221  54.4346     596 151.222      971   0         1346  30.5202
 222  40.4442     597 174.969      972   0         1347  45.3122
 223  43.1831     598 213.167      973 109.222     1348  45.3122
 224   0          599 179.791      974 109.222     1349   0
 225 151.222      600   0          975 105.889     1350   0
 226 151.222      601 114          976 105.889     1351 225.855
 227 249.562      602 114          977  99.7778    1352 225.855
 228 247.755      603 119.573      978  99.7778    1353 162.293
 229 239.99       604 119.573      979  56.8889    1354 192.703
 230 237.922      605 110          980  56.8889    1355 204.784
 231 239.992      606 110          981  34.7132    1356 214.556
 232 246.822      607 106.556      982  34.7132    1357 213.859
 233 234.597      608 106.556      983 120.556     1358 175.275
 234 235.003      609 114          984 120.556     1359 130.808
 235 230.664      610 114          985  81.8889    1360 138.711
 236 224.936      611 118.693      986  81.8889    1361 100.818
 237 208.745      612 117.64       987  37.1111    1362 102.732
 238 219.005      613 116.36       988  37.1111    1363 113.06
 239 226.41       614 117.418      989  80.5622    1364 113.06
 240 228.056      615 109.678      990  80.2949    1365 113
 241 236.182      616 109.678      991  68.9992    1366 113
 242 234.361      617 113          992  72.6573    1367 113.822
 243 222.572      618 113          993  83.5273    1368 115.12
 244 215.442      619 105.889      994  81.6996    1369 117.232
 245 200.041      620 105.889      995  85.056     1370 115.663
 246 200.041      621  85          996  86.0868    1371 114.409
 247 211.11       622  85          997  62.824     1372 114.409
 248 211.11       623  64.6667     998  70.9322    1373 120.556
 249   0          624  64.6667     999 122.674     1374 120.556
 250   0          625  38.6667    1000   0         1375 111.556
 251 113.741      626  38.6667    1001 102.852     1376 118.762
 252 113.741      627  33.7494    1002 101.548     1377 112.484
 253 120          628  33.7494    1003  98.7857    1378 112.17
 254 120          629  98.8889    1004 100.071     1379 106.047
 255 115          630  98.8889    1005 104.608     1380 105.612
 256 115          631 128.617     1006 104.151     1381 112.719
 257 109.419      632 128.617     1007 105.6       1382 105.725
 258 110.581      633  58.2222    1008 106.03      1383 107.769
 259 109.419      634  58.2222    1009 113         1384 116.068
 260 108.248      635  22.1252    1010 113         1385  67.6427
 261 113.5        636  23.2821    1011 105.889     1386  67.8747
 262 113.5        637  48.2243    1012 105.889     1387  67.6921
 263 114          638  34.9389    1013 115         1388  64.775
 264 114          639  60.4755    1014 115         1389 106.218
 265  98.8889     640  60.4755    1015 118.693     1390 106.218
 266  98.8889     641  82.7448    1016 118.693     1391  65.8127
 267  73.5692     642  82.5886    1017 109.222     1392  65.8127
 268  73.5692     643  85.8312    1018 109.222     1393  42.0039
 269  74.2013     644  86.6086    1019 114         1394  42.0039
 270  45.3238     645  77.3773    1020 114         1395  54.5455
 271  30.699      646  77.3773    1021 121.235     1396 117.303
 272  26.4222     647 140.071     1022 121.235     1397 114.16
 273  41.9505     648 159.279     1023 111.502     1398 211.216
 274   0          649 143.763     1024 110.498     1399 229.15
 275 151.222      650   0         1025 109.502     1400   0
 276 151.222      651 114         1026 110.498     1401 196.479
 277 250.008      652 114         1027 105.333     1402 196.479
 278 250.008      653 120.427     1028 105.333     1403 162.614
 279 231.472      654 120.427     1029  97.5556    1404 169.39
 280 239.416      655 110         1030  97.5556    1405 201.123
 281 244.003      656 110         1031  45.2868    1406 221.314
 282 241.983      657 106.556     1032  45.2868    1407 186.715
 283 234.597      658 106.556     1033  59.1111    1408   0
 284 235.003      659 114         1034  59.1111    1409 162.574
 285 230.664      660 114         1035 122.444     1410 162.574
 286 224.936      661 118.693     1036 122.444     1411 100.447
 287 208.745      662 117.64      1037  78.1111    1412 100.447
 288 219.005      663 116.36      1038  78.1111    1413 103.162
 289 227.58       664 117.418     1039  70.7778    1414 103.162
 290 229.153      665 115         1040  70.7778    1415 113
 291 236.609      666 115         1041  85.3939    1416 113
 292 234.848      667 113         1042  85.3939    1417 103.974
 293 220.219      668 113         1043  70.7778    1418 103.974
 294 212.434      669 105.889     1044  70.7778    1419 117.33
 295 203.515      670 105.889     1045  75.8889    1420 117.33
 296 203.515      671  85         1046  75.8889    1421 105.591
 297 216.726      672  85         1047 131.217     1422 105.591
 298 242.054      673  64.6667    1048 176.274     1423 120.556
 299 206.762      674  64.6667    1049 145.231     1424 120.556
 300   0          675  38.6667    1050   0         1425 104.992
 301 106.259      676  38.6667    1051 102.852     1426 101.579
 302 106.259      677  33.7506    1052 101.548     1427 107.175
 303 114.998      678  33.7506    1053  98.7857    1428 112.17
 304 114.998      679  98.8889    1054 100.071     1429 109.612
 305 110.498      680  98.8889    1055 103.049     1430 104.283
