 102   0.000665951    602  75.6788        1102   0.55963
 103   3.07849e-05    603 131.22          1103 173.073
 104  34.2349         604 136.215         1104 203.22
 105   0.00062083     605 169.235         1105  15.1594
 106 254.999          606   7.31959       1106 237.794
 107 255              607 201.241         1107   1.31077
 108  59.2941         608  85.6583        1108 131.621
 109  50.3728         609   0.000846504   1109 254.999
 110 250.278          610 198.141         1110 144.67
 111 223.846          611 162.707         1111 241.147
 112  85.5678         612   0.000846855   1112  92.7161
 113 190.947          613  71.9519        1113  54.2631
 114 244.893          614 254.433         1114 254.999
 115  55.4944         615 109.15          1115 254.942
 116  11.5168         616 209.194         1116 119.941
 117 229.319          617 202.555         1117 254.999
 118   1.19665        618 195.175         1118 160.432
 119 222.108          619  83.471         1119   0.00118104
 120   0.53382        620 249.495         1120 168.702
 121   0.0171804      621 211.087         1121 254.397
 122 137.783          622 169.936         1122  13.5292
 123 149.102          623   0.000137591   1123 216.786
 124   3.91125e-05    624   0.000131546   1124  24.9578
 125 222.199          625  20.1196        1125 202.885
 126   1.0845e-05     626   3.93788e-05   1126  20.005
 127 255              627   1.84403e-06   1127 195.711
 128 154.199          628   4.1721e-06    1128  50.7089
 129 100.628          629  22.773         1129 120.888
 130 255              630   3.70378e-06   1130 102.144
 131  81.3533         631  32.5865        1131   7.82053
 132 191.351          632  40.0583        1132 147.461
 133 142.359          633 115.105         1133   6.01803
 134 255              634   6.74166e-05   1134   0.000898164
 135 128.62           635  86.3633        1135   4.15247e-05
 136 142.553          636   4.71397e-06   1136   4.15425e-05
 137 255              637 171.397         1137   0.00112307
 138 255              638 255             1138 254.995
 139 112.645          639   1.4096e-06    1139   0.00282133
 140 187.882          640   1.75758e-06   1140 201.243
 141 255              641   6.86385       1141  60.2959
 142 185.003          642   3.41715e-05   1142   5.90309e-06
 143 255              643   1.75613e-06   1143   5.91524e-06
 144 211.121          644   1.78369e-06   1144  88.006
 145 237.267          645   3.05584e-05   1145  78.2709
 146   9.49794e-06    646  29.7259        1146 108.922
 147 255              647 160.627         1147 219.636
 148  80.4906         648 134.475         1148 155.035
 149   0.000196239    649 253.828         1149 227.026
 150   0              650   0             1150   0
 151  54.1533         651 155.446         1151  61.1182
 152 218.707          652 154.605         1152 102.266
 153 251.447          653 111.543         1153 174.519
 154 255              654 167.818         1154   0.00648338
 155 179.801          655  26.1399        1155   0.00636604
 156 105.408          656 251.591         1156 179.431
 157  84.8553         657  30.8732        1157  26.3977
 158  83.0133         658 150.62          1158 239.822
 159 255              659 196.589         1159  41.3631
 160   5.07503e-05    660  53.2565        1160   0.32762
 161   0.914987       661  27.8247        1161  83.1936
 162 241.053          662 254.982         1162  92.1997
 163   0.370955       663 134.743         1163 194.808
 164  80.6461         664   0.0182412     1164   3.49157
 165 179.182          665 181.803         1165  10.219
 166 166.772          666  88.6085        1166 126.146
 167  71.6317         667  27.4542        1167 156.744
 168  11.1059         668  30.5887        1168   0.0255029
 169 138.186          669  98.9963        1169  81.8244
 170   0.606887       670   0.0559735     1170 254.976
 171  78.697          671   0.00257615    1171 254.422
 172   0.00570113     672   0.0629423     1172  37.3258
 173   0.000263919    673 254.997         1173 171.658
 174 204.664          674  54.6323        1174  49.0253
 175 255              675 250.77          1175 158.522
 176 125.417          676   0.00140364    1176  72.5486
 177 255              677   6.79745e-05   1177 169.049
 178 174.329          678 195.241         1178  34.8235
 179   1.96329e-06    679   0.000604672   1179 103.628
 180  44.9226         680 130.295         1180 112.326
 181   4.08797        681 228.664         1181 112.877
 182  92.1133         682 174.669         1182 117.07
 183   2.56645e-06    683 255             1183 157.43
 184   6.27905e-06    684 184.898         1184   7.97244
 185 163.368          685 254.999         1185   7.65448
 186 186.723          686 164.1           1186 118.599
 187  44.8011         687 109.127         1187 192.815
 188 127.965          688  81.8299        1188   6.68024
 189  59.1766         689  73.5688        1189 193.696
 190  19.2802         690 220.258         1190   0.000356243
 191   1.86878e-06    691  32.306         1191   1.74722e-05
 192   1.68895e-06    692 143.682         1192 154.842
 193  99.9034         693   5.61886e-06   1193   3.23137e-06
 194  14.7102         694 171.23          1194 255
 195 112.548          695   7.75925e-06   1195   5.06988e-05
 196 171.567          696 168.935         1196   2.12187e-06
 197 190.282          697 141.685         1197 220.438
 198 202.184          698 255             1198 226.035
 199 187.331          699 255             1199   0.00094306
 200   0              700   0             1200   0
 201 189.785          701 153.791         1201 254.947
 202   0.0136573      702   0.743316      1202   0.0255254
 203   0.000632744    703  54.8778        1203 148.093
 204 136.533          704 254.836         1204 202.511
 205 254.546          705 108.684         1205 236.257
 206  13.5604         706  66.4437        1206  10.9953
 207  31.3225         707 254.969         1207 245.541
 208 235.263          708  34.1269        1208  73.3986
